DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
DAY=6, DATE=29, TIME=23:15, LONG=75.709999, LAT=19.750000
